Ticket,Type,Price_Open,Price_Current,Profit_USD,Timestamp,Event
4432726264,BUY,4104.333,4103.284,-1.05,2026-07-27 09:29:18,MONITOR_ACTIVE_TRADE
SUCCESS,4432780650,XAUUSDm,SELL,0.01,4099.706,4568.033,4096.706,2026-07-27 09:35:49,NEW_ORDER_PLACED
4432780650,SELL,4099.648,4101.054,-1.4,2026-07-27 09:36:59,MONITOR_ACTIVE_TRADE
4432780650,SELL,4099.648,4099.055,0.59,2026-07-27 09:38:01,MONITOR_ACTIVE_TRADE
4432780650,SELL,4099.648,4098.922,0.73,2026-07-27 09:38:04,MONITOR_ACTIVE_TRADE
4432780650,SELL,4099.648,4098.773,0.88,2026-07-27 09:39:13,MONITOR_ACTIVE_TRADE
4432780650,SELL,4099.648,4098.706,0.94,2026-07-27 09:40:19,MONITOR_ACTIVE_TRADE
4432780650,SELL,4099.648,4097.901,1.75,2026-07-27 09:41:24,MONITOR_ACTIVE_TRADE
4432780650,SELL,4099.648,4097.955,1.69,2026-07-27 09:42:07,MONITOR_ACTIVE_TRADE
4432780650,SELL,4099.648,4097.529,2.12,2026-07-27 09:42:28,MONITOR_ACTIVE_TRADE
SUCCESS,4432812577,XAUUSDm,BUY,0.01,4096.46,4094.96,4114.0,2026-07-27 09:43:32,NEW_ORDER_PLACED
4432812577,BUY,4096.46,4096.151,-0.31,2026-07-27 09:43:33,MONITOR_ACTIVE_TRADE
4432812577,BUY,4096.46,4096.98,0.52,2026-07-27 09:44:40,MONITOR_ACTIVE_TRADE
4432812577,BUY,4096.46,4096.992,0.53,2026-07-27 09:45:43,MONITOR_ACTIVE_TRADE
4432812577,BUY,4096.46,4095.673,-0.79,2026-07-27 09:46:48,MONITOR_ACTIVE_TRADE
4432812577,BUY,4096.46,4095.727,-0.73,2026-07-27 09:47:53,MONITOR_ACTIVE_TRADE
4432812577,BUY,4096.46,4095.457,-1.0,2026-07-27 09:48:56,MONITOR_ACTIVE_TRADE
4432812577,BUY,4096.46,4095.347,-1.11,2026-07-27 09:49:50,MONITOR_ACTIVE_TRADE
4432812577,BUY,4096.46,4095.58,-0.88,2026-07-27 09:50:12,MONITOR_ACTIVE_TRADE
SUCCESS,4432837180,XAUUSDm,BUY,0.01,4094.771,4093.271,4111.4,2026-07-27 09:51:15,NEW_ORDER_PLACED
4432837180,BUY,4094.7709999999997,4096.505,1.74,2026-07-27 09:52:19,MONITOR_ACTIVE_TRADE
4432837180,BUY,4094.7709999999997,4095.773,1.0,2026-07-27 09:52:35,MONITOR_ACTIVE_TRADE
4432837180,BUY,4094.7709999999997,4095.294,0.52,2026-07-27 09:53:40,MONITOR_ACTIVE_TRADE
4432837180,BUY,4094.7709999999997,4096.707,1.94,2026-07-27 09:54:45,MONITOR_ACTIVE_TRADE
4432837180,BUY,4094.7709999999997,4095.845,1.08,2026-07-27 09:55:51,MONITOR_ACTIVE_TRADE
4432837180,BUY,4094.7709999999997,4095.532,0.76,2026-07-27 09:57:01,MONITOR_ACTIVE_TRADE
4432837180,BUY,4094.7709999999997,4095.657,0.89,2026-07-27 09:57:06,MONITOR_ACTIVE_TRADE
4432837180,BUY,4094.7709999999997,4095.672,0.9,2026-07-27 09:58:09,MONITOR_ACTIVE_TRADE
SUCCESS,4432909171,XAUUSDm,SELL,0.01,4092.927,4098.965,4080.965,2026-07-27 10:08:11,NEW_ORDER_PLACED
4432909171,SELL,4092.927,4093.107,-0.18,2026-07-27 10:09:15,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4089.967,2.96,2026-07-27 10:10:28,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4091.619,1.31,2026-07-27 10:11:33,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4091.72,1.21,2026-07-27 10:12:38,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4091.96,0.97,2026-07-27 10:13:43,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4092.067,0.86,2026-07-27 10:14:40,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4092.195,0.73,2026-07-27 10:14:59,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4092.002,0.93,2026-07-27 10:15:23,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4085.789,7.14,2026-07-27 10:29:47,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4086.061,6.87,2026-07-27 10:30:29,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4086.841,6.09,2026-07-27 10:31:42,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4088.047,4.88,2026-07-27 10:32:54,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4089.793,3.14,2026-07-27 10:34:09,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4089.295,3.63,2026-07-27 10:35:22,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4088.875,4.05,2026-07-27 10:35:52,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4088.754,4.18,2026-07-27 10:36:14,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4088.566,4.36,2026-07-27 10:36:24,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4088.812,4.12,2026-07-27 10:36:28,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4089.423,3.51,2026-07-27 10:37:01,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4088.605,4.32,2026-07-27 10:37:36,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4089.573,3.36,2026-07-27 10:38:49,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4089.501,3.43,2026-07-27 10:40:01,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4090.371,2.56,2026-07-27 10:41:16,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4090.465,2.46,2026-07-27 10:42:26,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4090.25,2.68,2026-07-27 10:43:34,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4090.319,2.61,2026-07-27 10:44:47,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4089.858,3.07,2026-07-27 10:45:59,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4089.675,3.25,2026-07-27 10:47:02,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4088.697,4.23,2026-07-27 10:48:15,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4089.803,3.13,2026-07-27 10:49:20,MONITOR_ACTIVE_TRADE
4432909171,SELL,4092.927,4089.494,3.44,2026-07-27 10:50:25,MONITOR_ACTIVE_TRADE
SUCCESS,4433066598,XAUUSDm,SELL,0.01,4089.557,4095.563,4077.563,2026-07-27 10:51:28,NEW_ORDER_PLACED
